"","k_1","k_2","k_3","f_1","f_2","f_3"
"id21",62.447911577085,60.7657848647616,131.9833047288,75.8869602552138,81.1764292978249,85.1547817052983
"id22",38.1142298714941,37.9879766815998,39.4825525529939,35.7849449331205,34.879971954856,35.7751831794338
"id23",31.9123883600187,26.4904300103343,41.3032430451462,28.2556657771099,31.4850449908826,31.8431449171319
"id24",31.538407967367,29.9644013432395,8.55508565773251,39.7619502568932,43.452795445324,44.4593527608005
"id25",34.8684925345055,25.6753142115013,26.9245822342506,34.5936827717838,36.1232715720331,30.1371671025767
"id26",25.5418276569387,25.0023355757672,37.5791473422868,35.7024144826004,39.5387142200314,38.2332647317036
"id27",55.7013745091669,51.6198660522159,118.0031986746,80.6067199236173,86.4677287050107,86.6302390167556
"id28",162.565873499855,155.735190953368,53.8617231715752,266.185458227934,269.038714448874,270.578944115087
"id29",64.7154511665067,65.8611488109992,72.2768943067957,72.6668049255027,68.5017889835305,70.8557510907637
"id30",35.5482472364674,35.1300810413929,168.928324046669,53.3923745534436,52.9973035486028,54.9528645925422
"id31",25.7491855994586,27.5389891781207,31.6474991978305,30.7066858499414,28.9816604679656,26.2446457147181
"id32",152.370492660871,141.195685279543,237.693923478477,142.979036691188,130.638353247306,126.391588562847
"id33",13.0284310176445,13.9644944714592,22.3328733650862,13.2559620191961,11.0068563830978,9.4329917246434
"id34",132.018098542576,142.578032262212,110.846903450318,115.873577081235,119.560847434612,120.803586372178
"id35",43.7528518936814,39.590350497937,37.8021267546196,16.0524602550847,11.7103943550336,15.4156163220278
"id36",6.45708106797289,7.54548128396861,11.5256947769157,156.279537577959,130.638353247306,130.724410578798
"id37",23.9933527747303,23.5554934216372,27.6256352608581,50.2676579539813,50.0233784259073,45.9398947628737
